season,team_id,team_name,player_position_category,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
2023,9595,Villarreal II,midfielder,62.2109375,58.06640625,51.7734375,68.84765625,50.76171875,65.95703125,56.28515625,56.51953125,64.00390625,67.9375,64.9296875,63.78125,64.0390625,61.8515625,67.0546875,57.95703125,55.9375,63.8515625,53.1328125,58.05078125,47.91796875,51.1171875,61.70703125,63.87109375,55.50390625,56.98828125,51.234375,50.921875,47.77734375,8.0859375,9.30859375,9.10546875,9.81640625,11.8046875
2023,9595,Villarreal II,attacker,57.29032258064516,68.12903225806451,52.73548387096774,66.8,53.6,66.13548387096775,55.45161290322581,57.561290322580646,58.354838709677416,66.15483870967742,64.35483870967742,63.303225806451614,63.68387096774194,61.593548387096774,65.56129032258065,65.0,57.92258064516129,60.05806451612903,54.67741935483871,64.80645161290323,39.6,31.90967741935484,65.23870967741935,60.21290322580645,64.30967741935484,58.174193548387095,34.825806451612905,32.29677419354839,30.309677419354838,8.425806451612903,10.07741935483871,7.561290322580645,10.064516129032258,11.335483870967742
2023,9692,Eldense,goalkeeper,13.385245901639344,9.254098360655737,10.795081967213115,19.647540983606557,9.71311475409836,13.155737704918034,14.032786885245901,14.475409836065573,19.65573770491803,13.155737704918034,24.147540983606557,33.32786885245902,53.52459016393443,47.614754098360656,47.885245901639344,47.36065573770492,42.59836065573771,35.221311475409834,47.64754098360656,8.475409836065573,24.770491803278688,13.991803278688524,7.467213114754099,30.475409836065573,14.262295081967213,31.221311475409838,10.557377049180328,13.295081967213115,13.024590163934427,63.07377049180328,61.60655737704918,62.76229508196721,60.59016393442623,63.5655737704918
2023,9692,Eldense,defender,55.275862068965516,54.2816091954023,62.06896551724138,65.91954022988506,43.82183908045977,58.44827586206897,58.59770114942529,57.62068965517241,64.01149425287356,62.4367816091954,51.48850574712644,55.0919540229885,52.160919540229884,62.89080459770115,55.6551724137931,69.36781609195403,68.96551724137932,65.24137931034483,72.1264367816092,60.50574712643678,63.695402298850574,65.89655172413794,55.28735632183908,58.78735632183908,52.0,61.60919540229885,64.11494252873563,66.98850574712644,63.59770114942529,9.954022988505747,9.798850574712644,10.448275862068966,13.419540229885058,13.005747126436782
2023,9692,Eldense,midfielder,60.35,63.904545454545456,54.84090909090909,67.75454545454545,51.13636363636363,67.0,57.67727272727273,59.75454545454546,64.98636363636363,68.79545454545455,61.86363636363637,62.85454545454545,60.82272727272727,63.94090909090909,64.74545454545455,65.33636363636364,63.722727272727276,61.17272727272727,63.96818181818182,63.56818181818182,54.768181818181816,52.38636363636363,63.79545454545455,64.02272727272727,58.413636363636364,57.17272727272727,49.75909090909091,55.43181818181818,48.731818181818184,8.377272727272727,8.622727272727273,8.922727272727272,12.159090909090908,12.563636363636364
2023,9692,Eldense,attacker,54.03174603174603,66.38095238095238,64.15873015873017,66.93650793650794,61.76190476190476,66.14285714285714,56.73015873015873,55.476190476190474,53.06349206349206,67.12698412698413,65.93650793650794,68.68253968253968,64.44444444444444,64.3015873015873,66.0952380952381,64.44444444444444,68.11111111111111,52.666666666666664,63.15873015873016,62.492063492063494,51.17460317460318,42.55555555555556,67.96825396825396,56.61904761904762,60.17460317460318,57.507936507936506,40.04761904761905,45.23809523809524,33.93650793650794,9.777777777777779,8.380952380952381,11.666666666666666,10.777777777777779,9.904761904761905
2024,535,Malaga,goalkeeper,17.294117647058822,10.647058823529411,11.911764705882353,33.73529411764706,11.558823529411764,12.911764705882353,21.029411764705884,12.911764705882353,37.64705882352941,20.0,46.029411764705884,50.5,50.029411764705884,68.29411764705883,66.61764705882354,46.73529411764706,62.0,31.205882352941178,64.05882352941177,9.735294117647058,22.735294117647058,21.11764705882353,11.294117647058824,49.029411764705884,19.647058823529413,50.26470588235294,12.294117647058824,10.088235294117647,14.911764705882353,68.8529411764706,68.94117647058823,61.73529411764706,68.94117647058823,72.17647058823529
2024,535,Malaga,defender,50.790849673202615,40.35947712418301,55.98692810457516,61.0,39.13725490196079,58.3921568627451,50.24183006535948,46.01307189542484,57.549019607843135,61.509803921568626,64.18300653594771,61.83660130718954,62.8235294117647,62.69281045751634,67.33333333333333,51.712418300653596,63.98692810457516,68.63398692810458,62.81699346405229,45.22875816993464,62.666666666666664,62.92156862745098,50.928104575163395,55.34640522875817,47.810457516339866,56.529411764705884,62.63398692810458,65.55555555555556,65.4640522875817,9.882352941176471,10.647058823529411,10.5359477124183,10.052287581699346,13.03921568627451
2024,535,Malaga,midfielder,59.88516746411483,52.39712918660287,49.82775119617225,64.32057416267942,48.186602870813395,66.0,58.50239234449761,51.74641148325359,59.48803827751196,64.63636363636364,69.35885167464114,66.23444976076556,71.44976076555024,61.32057416267943,75.23444976076556,56.856459330143544,57.54545454545455,63.01913875598086,52.67942583732057,56.71291866028708,56.70334928229665,49.61244019138756,59.143540669856456,60.688995215311,53.36363636363637,60.248803827751196,50.42583732057416,52.1578947368421,52.9377990430622,10.301435406698564,10.995215311004785,10.014354066985646,9.85645933014354,11.502392344497608
2024,535,Malaga,attacker,59.84761904761905,61.647619047619045,50.60952380952381,65.64761904761905,53.25714285714286,68.47619047619048,55.114285714285714,47.285714285714285,59.10476190476191,66.58095238095238,71.93333333333334,66.9047619047619,74.82857142857142,60.87619047619047,77.36190476190477,61.733333333333334,56.95238095238095,53.6,49.39047619047619,59.695238095238096,50.61904761904762,29.542857142857144,63.41904761904762,59.67619047619048,57.60952380952381,62.74285714285714,35.6,30.590476190476192,31.78095238095238,8.942857142857143,11.847619047619048,11.476190476190476,8.41904761904762,10.047619047619047
2024,539,Levante,goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
