(742, 'Genk', 2021): 0.654	0.355	0.368	0.836	0.671	0.361	0.314	0.814	0.722	0.317	0.360	0.921	0.677	0.432	0.250	0.925	0.631	0.442	0.247	0.850	0.668	0.332	0.381	0.786	0.693	0.116	0.640	0.738	
(180, '1. FC Heidenheim', 2021): 0.612	0.309	0.354	0.760	0.605	0.311	0.346	0.736	0.659	0.340	0.347	0.858	0.678	0.396	0.256	0.909	0.575	0.389	0.257	0.794	0.627	0.430	0.248	0.764	0.708	0.099	0.654	0.748	
(185, 'SC Paderborn 07', 2021): 0.572	0.341	0.347	0.745	0.607	0.355	0.345	0.759	0.681	0.331	0.364	0.894	0.634	0.415	0.295	0.881	0.574	0.389	0.245	0.782	0.587	0.408	0.307	0.744	0.712	0.101	0.667	0.754	
(181, 'SV Darmstadt 98', 2021): 0.576	0.423	0.245	0.808	0.570	0.416	0.258	0.816	0.633	0.430	0.333	0.894	0.652	0.458	0.228	0.918	0.567	0.429	0.218	0.924	0.596	0.392	0.321	0.747	0.708	0.079	0.676	0.746	
(177, 'SSV Jahn Regensburg', 2021): 0.565	0.338	0.290	0.702	0.568	0.367	0.262	0.720	0.679	0.246	0.471	0.829	0.629	0.395	0.249	0.852	0.558	0.366	0.228	0.755	0.596	0.328	0.338	0.721	0.697	0.040	0.677	0.715	
(183, 'Dynamo Dresden', 2021): 0.574	0.356	0.265	0.723	0.575	0.370	0.250	0.723	0.661	0.340	0.365	0.908	0.633	0.431	0.253	0.842	0.558	0.434	0.183	0.794	0.591	0.423	0.214	0.724	0.655	0.257	0.491	0.730	
(184, 'FC Ingolstadt 04', 2021): 0.564	0.379	0.283	0.744	0.543	0.391	0.282	0.758	0.655	0.275	0.409	0.871	0.631	0.449	0.300	0.897	0.533	0.405	0.186	0.779	0.531	0.491	0.186	0.698	0.635	0.059	0.609	0.663	
(1321, 'Hansa Rostock', 2021): 0.585	0.348	0.323	0.769	0.605	0.297	0.366	0.747	0.655	0.336	0.370	0.897	0.656	0.445	0.287	0.908	0.576	0.392	0.218	0.787	0.596	0.361	0.280	0.713	0.691	0.131	0.619	0.747	
(785, 'Karlsruher SC', 2021): 0.586	0.400	0.276	0.797	0.599	0.427	0.279	0.785	0.658	0.392	0.344	0.882	0.654	0.426	0.247	0.928	0.579	0.403	0.226	0.794	0.608	0.337	0.328	0.733	0.687	0.136	0.605	0.732	
(1305, 'Bastia', 2021): 0.570	0.276	0.341	0.713	0.594	0.283	0.384	0.715	0.654	0.300	0.389	0.881	0.601	0.440	0.278	0.876	0.555	0.344	0.161	0.730	0.567	0.294	0.315	0.689	0.640	0.065	0.608	0.670	
(92, 'Nimes', 2021): 0.593	0.335	0.319	0.776	0.638	0.345	0.351	0.782	0.715	0.294	0.478	0.907	0.624	0.363	0.242	0.822	0.574	0.379	0.270	0.764	0.587	0.406	0.307	0.752	0.676	0.067	0.644	0.710	
(6941, 'Górnik Łęczna', 2021): 0.548	0.275	0.320	0.658	0.573	0.251	0.313	0.670	0.681	0.382	0.392	0.913	0.609	0.417	0.220	0.873	0.533	0.369	0.173	0.761	0.489	0.440	0.186	0.650	0.631	0.119	0.571	0.681	
(350, 'Cracovia Krakow', 2021): 0.571	0.292	0.353	0.719	0.586	0.309	0.330	0.734	0.657	0.339	0.375	0.886	0.615	0.431	0.242	0.828	0.565	0.352	0.243	0.736	0.560	0.354	0.282	0.684	0.642	0.048	0.618	0.662	
(260, 'OH Leuven', 2021): 0.606	0.411	0.266	0.806	0.647	0.345	0.375	0.825	0.658	0.368	0.351	0.893	0.647	0.421	0.218	0.898	0.603	0.407	0.226	0.840	0.595	0.374	0.244	0.734	0.688	0.088	0.643	0.725	
(600, 'Zulte Waregem', 2021): 0.629	0.321	0.385	0.784	0.609	0.339	0.358	0.752	0.612	0.377	0.320	0.857	0.662	0.406	0.275	0.908	0.612	0.423	0.268	0.845	0.586	0.395	0.304	0.750	0.688	0.101	0.630	0.728	
(618, 'SCR Altach', 2021): 0.535	0.364	0.248	0.751	0.545	0.341	0.263	0.718	0.622	0.393	0.352	0.895	0.608	0.413	0.227	0.900	0.541	0.390	0.155	0.733	0.557	0.375	0.231	0.674	0.645	0.089	0.598	0.682	
(1026, 'Lask Linz', 2021): 0.606	0.302	0.343	0.778	0.623	0.334	0.353	0.787	0.699	0.330	0.404	0.945	0.660	0.370	0.248	0.892	0.590	0.380	0.242	0.795	0.588	0.374	0.278	0.732	0.724	0.111	0.667	0.772	
(781, 'Rapid Vienna', 2021): 0.596	0.332	0.315	0.771	0.613	0.339	0.278	0.755	0.689	0.305	0.398	0.898	0.652	0.414	0.239	0.902	0.582	0.411	0.188	0.752	0.542	0.510	0.201	0.747	0.621	0.073	0.588	0.652	
(1072, 'TSV Hartberg', 2021): 0.570	0.318	0.276	0.739	0.602	0.284	0.336	0.715	0.679	0.318	0.450	0.916	0.632	0.402	0.286	0.851	0.557	0.384	0.185	0.730	0.566	0.458	0.218	0.687	0.610	0.014	0.604	0.616	
(1398, 'WSG Wattens', 2021): 0.553	0.282	0.346	0.723	0.581	0.304	0.340	0.722	0.683	0.285	0.446	0.859	0.615	0.412	0.256	0.856	0.550	0.369	0.203	0.721	0.562	0.357	0.278	0.691	0.650	0.079	0.613	0.685	
(1023, 'Admira Wacker', 2021): 0.552	0.326	0.307	0.693	0.551	0.311	0.294	0.700	0.654	0.209	0.452	0.785	0.628	0.354	0.196	0.825	0.539	0.413	0.167	0.746	0.550	0.472	0.205	0.700	0.663	0.084	0.614	0.687	
(336, 'Jagiellonia', 2021): 0.558	0.347	0.275	0.747	0.573	0.323	0.321	0.709	0.678	0.314	0.427	0.864	0.648	0.413	0.264	0.908	0.558	0.433	0.168	0.833	0.528	0.547	0.147	0.728	0.647	0.066	0.613	0.673	
(343, 'Lechia Gdansk', 2021): 0.570	0.299	0.313	0.722	0.589	0.301	0.327	0.727	0.673	0.331	0.345	0.837	0.633	0.387	0.276	0.925	0.569	0.368	0.185	0.770	0.531	0.452	0.180	0.684	0.679	0.129	0.619	0.729	
(644, 'FC Luzern', 2021): 0.614	0.291	0.376	0.765	0.641	0.237	0.394	0.763	0.655	0.363	0.339	0.885	0.670	0.343	0.327	0.892	0.588	0.372	0.229	0.769	0.603	0.374	0.274	0.733	0.707	0.076	0.671	0.736	
(565, 'BSC Young Boys', 2021): 0.613	0.347	0.318	0.785	0.620	0.351	0.336	0.777	0.683	0.330	0.410	0.922	0.666	0.439	0.219	0.896	0.579	0.382	0.260	0.785	0.575	0.520	0.240	0.765	0.709	0.056	0.683	0.733	
(734, 'Kortrijk', 2021): 0.588	0.339	0.292	0.770	0.601	0.351	0.269	0.746	0.660	0.380	0.340	0.925	0.659	0.402	0.295	0.907	0.592	0.413	0.203	0.776	0.604	0.457	0.244	0.775	0.656	0.133	0.597	0.715	
(10244, 'Seraing United', 2021): 0.555	0.375	0.254	0.742	0.613	0.297	0.328	0.750	0.695	0.298	0.491	0.902	0.620	0.418	0.203	0.831	0.552	0.439	0.195	0.774	0.545	0.501	0.211	0.708	0.647	0.092	0.617	0.691	
(87, 'Amiens', 2021): 0.567	0.395	0.274	0.739	0.596	0.362	0.329	0.771	0.640	0.403	0.339	0.885	0.631	0.446	0.218	0.897	0.545	0.424	0.152	0.796	0.577	0.341	0.326	0.718	0.718	0.049	0.698	0.739	
(108, 'Auxerre', 2021): 0.608	0.382	0.317	0.788	0.661	0.261	0.459	0.795	0.656	0.382	0.303	0.910	0.652	0.431	0.245	0.926	0.593	0.364	0.250	0.788	0.556	0.499	0.155	0.730	0.674	0.070	0.646	0.717	
(88, 'Caen', 2021): 0.573	0.392	0.278	0.759	0.592	0.352	0.329	0.748	0.662	0.282	0.395	0.845	0.643	0.466	0.263	0.905	0.574	0.350	0.241	0.754	0.596	0.277	0.362	0.701	0.679	0.059	0.652	0.707	
(1301, 'Rodez', 2021): 0.583	0.290	0.346	0.726	0.575	0.383	0.286	0.740	0.634	0.332	0.364	0.848	0.604	0.454	0.191	0.871	0.536	0.411	0.166	0.711	0.595	0.287	0.346	0.703	0.668	0.058	0.645	0.696	
(96, 'Toulouse', 2021): 0.591	0.335	0.350	0.759	0.629	0.339	0.387	0.783	0.677	0.284	0.463	0.880	0.656	0.382	0.266	0.880	0.567	0.417	0.155	0.769	0.602	0.294	0.353	0.712	0.706	0.135	0.633	0.758	
(98, 'Ajaccio', 2021): 0.606	0.252	0.392	0.737	0.618	0.267	0.383	0.745	0.677	0.302	0.412	0.867	0.650	0.430	0.245	0.911	0.556	0.404	0.148	0.758	0.576	0.422	0.220	0.701	0.695	0.022	0.687	0.704	
(101, 'Grenoble', 2021): 0.573	0.318	0.330	0.734	0.606	0.316	0.355	0.737	0.695	0.328	0.423	0.906	0.645	0.417	0.310	0.910	0.561	0.349	0.228	0.774	0.549	0.431	0.239	0.729	0.682	0.076	0.635	0.709	
(114, 'Paris FC', 2021): 0.569	0.288	0.340	0.720	0.590	0.299	0.364	0.719	0.662	0.326	0.397	0.873	0.617	0.382	0.323	0.864	0.567	0.395	0.170	0.736	0.575	0.363	0.289	0.698	0.692	0.056	0.669	0.722	
