match_id,country,comp_name,season,home_team,away_team,prediction,odds_yes,odds_no,base_bet,recommended_bet_yes,recommended_bet_no,time_remaining_sec,match_start_datetime_utc,bet_placed,won
1234930,Italy,Serie B,2024,Carrarese,Bari,0.532418013,1.61,2.33,100,0,6.726769218,1035,2025-03-30 13:00 UTC,6.73,15.68
1234931,Italy,Serie B,2024,Cesena,Juve Stabia,0.541901052,1.52,2.5,100,0,9.683158,1009,2025-03-30 13:00 UTC,9.68,24.2
1224214,Germany,Bundesliga,2024,SC Freiburg,Union Berlin,0.427353293,1.82,2.08,100,0,17.69492141,2761,2025-03-30 13:00 UTC,17.69,36.8
1208747,Spain,La Liga,2024,Barcelona,Girona,0.411415011,3.09,1.4,100,12.97953986,0,3072,2025-03-30 14:00 UTC,12.98,0
1217861,Spain,Segunda División,2024,Oviedo,Malaga,0.525286317,1.54,2.46,100,0,11.49285346,3026,2025-03-30 14:00 UTC,11.94,29.37
1362762,Denmark,Superliga,2024,Aarhus,FC Nordsjaelland,0.429699481,1.9,1.9,100,0,9.285665221,1324,2025-03-30 14:00 UTC,9.29,0
1361564,India,Indian Super League,2024,NorthEast United,Jamshedpur,0.483970046,2.35,1.52,100,10.17256357,0,1292,2025-03-30 14:00 UTC,10.17,23.9
1231965,Portugal,Primeira Liga,2024,Santa Clara,Nacional,0.518354356,1.63,2.35,100,0,9.767945387,1847,2025-03-30 14:00 UTC,9.77,0
1213676,Netherlands,Eredivisie,2024,Feyenoord,GO Ahead Eagles,0.452637374,2.65,1.5,100,12.09024498,0,1783,2025-03-30 14:00 UTC,12.09,0
1223889,Italy,Serie A,2024,Inter,Udinese,0.440144092,1.98,1.91,100,0,7.618108195,2521,2025-03-30 16:00 UTC,7.62,14.55
1208753,Spain,La Liga,2024,Valencia,Mallorca,0.514395297,1.55,2.59,100,0,16.2085649,3041,2025-03-30 16:00 UTC,16.21,0
1217851,Spain,Segunda División,2024,Albacete,Mirandes,0.492377162,1.67,2.21,100,0,10.06995637,3006,2025-03-30 16:00 UTC,10.07,22.25
1217856,Spain,Segunda División,2024,Huesca,Sporting Gijon,0.535966039,1.52,2.52,100,0,11.14247253,2973,2025-03-30 16:00 UTC,11.14,28.07
1361730,Belgium,Jupiler Pro League,2024,Genk,Gent,0.549419045,2.45,1.58,100,23.86735596,0,1965,2025-03-30 16:00 UTC,23.87,0
1361772,Belgium,Jupiler Pro League,2024,Dender,KVC Westerlo,0.528177917,2.35,1.63,100,17.86800777,0,1192,2025-03-30 17:00 UTC,17.87,41.99
1223893,Italy,Serie A,2024,Napoli,AC Milan,0.4459939,1.97,1.92,100,0,6.923012111,2123,2025-03-30 18:00 UTC,6.92,13.29
1208748,Spain,La Liga,2024,Real Betis,Sevilla,0.478861511,1.71,2.26,100,0,14.10896712,2116,2025-03-30 19:00 UTC,14.11,31.89
1231970,Portugal,Primeira Liga,2024,Moreirense,Guimaraes,0.507524371,1.53,2.56,100,0,16.71394935,2092,2025-03-30 19:00 UTC,16.71,42.78
1238108,Turkey,Süper Lig,2024,Eyüpspor,Istanbul Basaksehir,0.483067721,1.66,2.08,100,0,6.96473519,2232,2025-03-31 17:00 UTC,6.96,14.88
1217853,Spain,Segunda División,2024,Cadiz,Eibar,0.512359798,1.44,2.74,100,0,19.3180548,1954,2025-03-31 18:00 UTC,19.32,0
1223891,Italy,Serie A,2024,Lazio,Torino,0.505703986,1.71,2.25,100,0,8.973282576,2830,2025-03-31 18:00 UTC,8.97,0
1212682,France,Ligue 2,2024,Paris FC,Caen,0.541526735,2.14,1.71,100,13.9357204,0,1956,2025-03-31 18:00 UTC,13.94,0
1367258,India,Indian Super League,2024,Bengaluru,Goa,0.45451802,1.67,2.07,100,0,12.06987834,1072,2025-04-02 14:00 UTC,12.07,0
1208313,England,Premier League,2024,Bournemouth,Ipswich,0.460707307,2.34,1.66,100,5.825007318,0,2870,2025-04-02 18:45 UTC,5.83,0
