comp_name,season,comp_season_id,n_teams,total_matches,regular_matches,non_regular_matches,non_regular_kept_matches,non_regular_filtered_matches,non_regular_share,distinct_round_ids,regular_round_ids,non_regular_round_ids,kept_round_ids,filtered_round_ids,min_team_matches,max_team_matches,median_team_matches,first_match_date,last_match_date,notes
Germany Bundesliga,2021,6192,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2021-08-13T00:00:00+00:00,2022-05-14T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany Bundesliga,2022,7664,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2022-08-05T00:00:00+00:00,2023-05-27T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany Bundesliga,2023,9655,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2023-08-18T00:00:00+00:00,2024-05-18T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany Bundesliga,2024,12529,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2024-08-23T00:00:00+00:00,2025-05-17T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
India Indian Super League,2021,6659,11,115,110,5,0,5,0.043478260869565216,3,1,2,1,2,20,23,20.0,2021-11-19T00:00:00+00:00,2022-03-20T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
India Indian Super League,2022,8342,11,117,110,7,0,7,0.05982905982905983,4,1,3,1,3,20,24,21.0,2022-10-07T00:00:00+00:00,2023-03-18T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
India Indian Super League,2023,10625,12,139,132,7,0,7,0.050359712230215826,4,1,3,1,3,22,25,22.5,2023-09-21T00:00:00+00:00,2024-05-04T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Italy Serie A,2021,6198,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2021-08-21T00:00:00+00:00,2022-05-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Italy Serie A,2022,7608,20,381,380,1,0,1,0.0026246719160104987,2,1,1,1,1,38,39,38.0,2022-08-13T00:00:00+00:00,2023-06-11T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Italy Serie A,2023,9697,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2023-08-19T00:00:00+00:00,2024-06-02T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Italy Serie A,2024,12530,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2024-08-17T00:00:00+00:00,2025-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Italy Serie B,2022,7864,20,390,380,10,0,10,0.02564102564102564,5,1,4,1,4,38,43,38.0,2022-08-12T00:00:00+00:00,2023-06-11T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
