competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Australia A-League,2021,29,3912,0.7413087934560327,29,0.7413087934560327,0.7413087934560327
Australia A-League,2022,33,3912,0.843558282208589,33,0.843558282208589,0.843558282208589
Australia A-League,2023,39,4056,0.9615384615384616,29,0.7149901380670611,0.9615384615384616
Australia A-League,2024,31,4224,0.7339015151515151,31,0.7339015151515151,0.7339015151515151
Austria Bundesliga,2021,33,4680,0.7051282051282052,33,0.7051282051282052,0.7051282051282052
Austria Bundesliga,2022,24,4680,0.5128205128205128,24,0.5128205128205128,0.5128205128205128
Austria Bundesliga,2023,24,4680,0.5128205128205128,24,0.5128205128205128,0.5128205128205128
Austria Bundesliga,2024,83,4680,1.7735042735042734,65,1.3888888888888888,1.7735042735042734
Belgium Pro League,2021,65,7920,0.8207070707070707,49,0.6186868686868687,0.8207070707070707
Belgium Pro League,2022,48,7920,0.6060606060606061,48,0.6060606060606061,0.6060606060606061
Belgium Pro League,2023,56,7512,0.7454739084132055,40,0.5324813631522897,0.7454739084132055
Belgium Pro League,2024,97,7512,1.2912673056443025,85,1.1315228966986155,1.2912673056443025
Denmark Superliga,2021,27,4632,0.582901554404145,27,0.582901554404145,0.582901554404145
Denmark Superliga,2022,40,4632,0.8635578583765112,36,0.7772020725388601,0.8635578583765112
Denmark Superliga,2023,28,4632,0.6044905008635578,28,0.6044905008635578,0.6044905008635578
Denmark Superliga,2024,25,4632,0.5397236614853195,25,0.5397236614853195,0.5397236614853195
England Championship,2021,49,13368,0.36654697785757034,49,0.36654697785757034,0.36654697785757034
England Championship,2022,87,13368,0.6508078994614004,55,0.4114302812687014,0.6508078994614004
England Championship,2023,48,13368,0.3590664272890485,48,0.3590664272890485,0.3590664272890485
England Championship,2024,202,13368,1.5110712148414123,176,1.3165769000598444,1.5110712148414123
England EFL League One,2021,50,13368,0.37402752842609216,50,0.37402752842609216,0.37402752842609216
England EFL League One,2022,66,13368,0.49371633752244165,60,0.4488330341113106,0.49371633752244165
England EFL League One,2023,48,13368,0.3590664272890485,48,0.3590664272890485,0.3590664272890485
England EFL League One,2024,116,13368,0.8677438659485338,90,0.6732495511669659,0.8677438659485338
England EFL League Two,2021,52,13368,0.38898862956313585,52,0.38898862956313585,0.38898862956313585
England EFL League Two,2022,59,13368,0.4413524835427888,55,0.4114302812687014,0.4413524835427888
England EFL League Two,2023,53,13368,0.3964691801316577,53,0.3964691801316577,0.3964691801316577
England EFL League Two,2024,206,13368,1.5409934171154998,122,0.9126271693596649,1.5409934171154998
England Premier League,2021,42,9120,0.4605263157894737,42,0.4605263157894737,0.4605263157894737
England Premier League,2022,46,9120,0.5043859649122807,46,0.5043859649122807,0.5043859649122807
England Premier League,2023,40,9120,0.43859649122807015,40,0.43859649122807015,0.43859649122807015
England Premier League,2024,61,9120,0.668859649122807,61,0.668859649122807,0.668859649122807
France Ligue 1,2021,45,9120,0.4934210526315789,45,0.4934210526315789,0.4934210526315789
France Ligue 1,2022,55,9120,0.6030701754385965,55,0.6030701754385965,0.6030701754385965
France Ligue 1,2023,36,7344,0.49019607843137253,36,0.49019607843137253,0.49019607843137253
France Ligue 1,2024,102,7344,1.3888888888888888,102,1.3888888888888888,1.3888888888888888
France Ligue 2,2021,49,9168,0.5344677137870855,49,0.5344677137870855,0.5344677137870855
France Ligue 2,2022,45,9120,0.4934210526315789,45,0.4934210526315789,0.4934210526315789
France Ligue 2,2023,40,9168,0.4363001745200698,40,0.4363001745200698,0.4363001745200698
France Ligue 2,2024,192,7392,2.5974025974025974,136,1.8398268398268398,2.5974025974025974
Germany 2. Bundesliga,2021,39,7344,0.5310457516339869,39,0.5310457516339869,0.5310457516339869
Germany 2. Bundesliga,2022,42,7344,0.5718954248366013,42,0.5718954248366013,0.5718954248366013
Germany 2. Bundesliga,2023,40,7344,0.5446623093681917,40,0.5446623093681917,0.5446623093681917
Germany 2. Bundesliga,2024,146,7344,1.9880174291938997,110,1.4978213507625273,1.9880174291938997
Germany Bundesliga,2021,41,7344,0.5582788671023965,41,0.5582788671023965,0.5582788671023965
Germany Bundesliga,2022,38,7344,0.5174291938997821,38,0.5174291938997821,0.5174291938997821
Germany Bundesliga,2023,36,7344,0.49019607843137253,36,0.49019607843137253,0.49019607843137253
Germany Bundesliga,2024,82,7344,1.116557734204793,82,1.116557734204793,1.116557734204793
India Indian Super League,2021,39,2760,1.4130434782608696,33,1.1956521739130435,1.4130434782608696
India Indian Super League,2022,33,2808,1.1752136752136753,33,1.1752136752136753,1.1752136752136753
India Indian Super League,2023,38,3336,1.1390887290167866,28,0.8393285371702638,1.1390887290167866
Italy Serie A,2021,49,9120,0.5372807017543859,49,0.5372807017543859,0.5372807017543859
Italy Serie A,2022,56,9144,0.6124234470691163,56,0.6124234470691163,0.6124234470691163
Italy Serie A,2023,40,9120,0.43859649122807015,40,0.43859649122807015,0.43859649122807015
Italy Serie A,2024,97,9120,1.0635964912280702,97,1.0635964912280702,1.0635964912280702
Italy Serie B,2022,97,9360,1.0363247863247864,97,1.0363247863247864,1.0363247863247864
Italy Serie B,2023,40,9360,0.42735042735042733,40,0.42735042735042733,0.42735042735042733
Italy Serie B,2024,147,9360,1.5705128205128205,135,1.4423076923076923,1.5705128205128205
Netherlands Eredivisie,2021,46,7488,0.6143162393162394,46,0.6143162393162394,0.6143162393162394
Netherlands Eredivisie,2022,42,7488,0.5608974358974359,42,0.5608974358974359,0.5608974358974359
Netherlands Eredivisie,2023,37,7416,0.4989212513484358,37,0.4989212513484358,0.4989212513484358
Netherlands Eredivisie,2024,102,7416,1.3754045307443366,90,1.2135922330097086,1.3754045307443366
Poland Ekstraklasa,2022,47,7344,0.6399782135076253,47,0.6399782135076253,0.6399782135076253
Poland Ekstraklasa,2023,48,7344,0.6535947712418301,48,0.6535947712418301,0.6535947712418301
Poland Ekstraklasa,2024,43,7344,0.585511982570806,43,0.585511982570806,0.585511982570806
Portugal Liga NOS,2021,41,7344,0.5582788671023965,41,0.5582788671023965,0.5582788671023965
Portugal Liga NOS,2022,46,7344,0.6263616557734205,46,0.6263616557734205,0.6263616557734205
Portugal Liga NOS,2023,36,7344,0.49019607843137253,36,0.49019607843137253,0.49019607843137253
Portugal Liga NOS,2024,97,7344,1.3208061002178648,97,1.3208061002178648,1.3208061002178648
Saudi Arabia Professional League,2021,120,5760,2.0833333333333335,88,1.5277777777777777,2.0833333333333335
Saudi Arabia Professional League,2022,65,5760,1.1284722222222223,65,1.1284722222222223,1.1284722222222223
Saudi Arabia Professional League,2023,36,7344,0.49019607843137253,36,0.49019607843137253,0.49019607843137253
Saudi Arabia Professional League,2024,116,7344,1.579520697167756,72,0.9803921568627451,1.579520697167756
Scotland Premiership,2021,35,5472,0.6396198830409356,29,0.5299707602339181,0.6396198830409356
Scotland Premiership,2022,38,5472,0.6944444444444444,28,0.5116959064327485,0.6944444444444444
Scotland Premiership,2023,44,5472,0.804093567251462,30,0.5482456140350878,0.804093567251462
Scotland Premiership,2024,111,5472,2.0285087719298245,57,1.0416666666666667,2.0285087719298245
Spain La Liga,2021,42,9120,0.4605263157894737,42,0.4605263157894737,0.4605263157894737
Spain La Liga,2022,43,9120,0.47149122807017546,43,0.47149122807017546,0.47149122807017546
Spain La Liga,2023,46,9120,0.5043859649122807,40,0.43859649122807015,0.5043859649122807
Spain La Liga,2024,70,9120,0.7675438596491229,58,0.6359649122807017,0.7675438596491229
Spain Segunda División,2021,55,11232,0.4896723646723647,55,0.4896723646723647,0.4896723646723647
Spain Segunda División,2022,87,11232,0.7745726495726496,87,0.7745726495726496,0.7745726495726496
Spain Segunda División,2023,52,11232,0.46296296296296297,52,0.46296296296296297,0.46296296296296297
Spain Segunda División,2024,160,11136,1.4367816091954022,148,1.3290229885057472,1.4367816091954022
Switzerland Super League,2021,22,4320,0.5092592592592593,22,0.5092592592592593,0.5092592592592593
Switzerland Super League,2022,21,4320,0.4861111111111111,21,0.4861111111111111,0.4861111111111111
Switzerland Super League,2023,24,5472,0.43859649122807015,24,0.43859649122807015,0.43859649122807015
Switzerland Super League,2024,78,5472,1.4254385964912282,66,1.206140350877193,1.4254385964912282
Turkey Süper Lig,2021,44,9120,0.4824561403508772,44,0.4824561403508772,0.4824561403508772
Turkey Süper Lig,2023,40,9120,0.43859649122807015,40,0.43859649122807015,0.43859649122807015
Turkey Süper Lig,2024,129,8208,1.5716374269005848,109,1.327972709551657,1.5716374269005848
