competition,season,stat,n_missing,n_zero,n_total,missing_pct,zero_pct,missing_or_zero_pct
Denmark Superliga,2021,away_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_attacks,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_dangerous_attacks,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_fouls,0,2,193,0.0,1.0362694300518134,0.0
Denmark Superliga,2021,home_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2021,home_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_shots_off_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_shots_on_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_total_shots,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2021,home_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,away_attacks,0,2,193,0.0,1.0362694300518134,0.0
Denmark Superliga,2022,away_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,away_dangerous_attacks,0,2,193,0.0,1.0362694300518134,0.0
Denmark Superliga,2022,away_fouls,0,2,193,0.0,1.0362694300518134,0.0
Denmark Superliga,2022,away_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,away_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2022,away_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,away_shots_off_target,1,0,193,0.5181347150259067,0.0,0.5181347150259067
Denmark Superliga,2022,away_shots_on_target,1,0,193,0.5181347150259067,0.0,0.5181347150259067
Denmark Superliga,2022,away_total_shots,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2022,away_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,away_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,home_attacks,0,2,193,0.0,1.0362694300518134,0.0
Denmark Superliga,2022,home_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,home_dangerous_attacks,0,2,193,0.0,1.0362694300518134,0.0
Denmark Superliga,2022,home_fouls,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,home_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,home_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2022,home_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,home_shots_off_target,1,0,193,0.5181347150259067,0.0,0.5181347150259067
Denmark Superliga,2022,home_shots_on_target,1,0,193,0.5181347150259067,0.0,0.5181347150259067
Denmark Superliga,2022,home_total_shots,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2022,home_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2022,home_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_attacks,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2023,away_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_dangerous_attacks,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2023,away_fouls,0,0,193,0.0,0.0,0.0
