competition,season,n_team_month_slices,mean_slice_missing_pct,median_slice_missing_pct,worst_slice_missing_pct,worst_team_name,worst_month,worst_n_matches
Italy Serie B,2024,204,1.5115351696234047,0.0,9.523809523809524,ASD Spezia Calcio 2008,5,7
Netherlands Eredivisie,2021,180,0.6925154320987654,0.0,5.555555555555555,AFC Ajax,8,3
Netherlands Eredivisie,2022,166,0.5622489959839359,0.0,5.555555555555555,Feyenoord Rotterdam,11,3
Netherlands Eredivisie,2023,180,0.691358024691358,0.0,8.333333333333334,AFC Ajax,8,2
Netherlands Eredivisie,2024,180,1.4332561728395061,0.0,22.22222222222222,FC Twente,10,3
Poland Ekstraklasa,2022,180,0.7866512345679013,0.0,8.333333333333334,WKS Śląsk Wrocław,7,2
Poland Ekstraklasa,2023,180,1.0127314814814816,0.0,8.333333333333334,RTS Widzew Łódź,7,2
Poland Ekstraklasa,2024,184,0.8876811594202899,0.0,8.333333333333334,KP Legia Warszawa,7,2
Portugal Liga NOS,2021,180,0.4895833333333333,0.0,4.166666666666667,SL Benfica,8,4
Portugal Liga NOS,2022,178,0.6195380774032461,0.0,5.208333333333333,GD Chaves,8,4
Portugal Liga NOS,2023,180,0.5864197530864197,0.0,8.333333333333334,Sporting Braga,8,2
Portugal Liga NOS,2024,180,1.584490740740741,0.0,16.666666666666668,FC Porto,10,2
Saudi Arabia Professional League,2021,160,2.415364583333333,0.0,29.166666666666668,Al Taawon FC,6,2
Saudi Arabia Professional League,2022,143,1.9036519036519037,0.0,25.0,Al Nassr FC,8,1
Saudi Arabia Professional League,2023,162,0.46296296296296297,0.0,5.208333333333333,Al Taawon FC,8,4
Saudi Arabia Professional League,2024,180,1.6747685185185184,0.0,22.22222222222222,Al Ahli SC Jeddah,11,3
Scotland Premiership,2021,128,1.0552300347222223,0.0,13.88888888888889,Saint Mirren FC,5,3
Scotland Premiership,2022,132,1.1679292929292928,0.0,14.583333333333334,Kilmarnock FC,4,4
Scotland Premiership,2023,120,0.9957010582010583,0.0,25.0,Kilmarnock FC,4,3
Scotland Premiership,2024,120,2.1377314814814814,0.0,22.22222222222222,Celtic FC,11,3
Spain La Liga,2021,200,0.5746527777777778,0.0,6.944444444444445,Granada CF,8,3
Spain La Liga,2022,220,0.5397727272727273,0.0,8.333333333333334,Real Club Deportivo Mallorca,8,3
Spain La Liga,2023,200,0.6125,0.0,6.944444444444445,Club Atlético de Madrid,8,3
Spain La Liga,2024,200,0.8371527777777779,0.0,22.22222222222222,Real Valladolid Club de Fútbol,12,3
Spain Segunda División,2021,224,0.6581721230158731,0.0,8.333333333333334,UD Las Palmas,6,2
Spain Segunda División,2022,224,0.9291294642857143,0.0,6.944444444444445,SD Eibar,8,3
Spain Segunda División,2023,242,0.576216712580349,0.0,6.944444444444445,CD Leganés,8,3
Spain Segunda División,2024,236,1.5213041431261773,0.0,16.666666666666668,SD Eibar,11,4
Switzerland Super League,2021,110,0.9154040404040406,0.0,8.333333333333334,BSC Young Boys,7,2
Switzerland Super League,2022,100,0.6944444444444445,0.0,8.333333333333334,FC Basel 1893,7,2
Switzerland Super League,2023,132,0.7575757575757576,0.0,8.333333333333334,FC Basel 1893,7,2
Switzerland Super League,2024,132,1.638257575757576,0.0,22.22222222222222,FC Sion,11,3
Turkey Süper Lig,2021,200,0.5993055555555554,0.0,5.555555555555555,Fenerbahçe,8,3
Turkey Süper Lig,2023,200,0.6388888888888888,0.0,8.333333333333334,Fenerbahçe,8,2
Turkey Süper Lig,2024,194,1.857101947308133,0.0,22.22222222222222,Çaykur Rizespor,11,3
