competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Saudi Arabia Professional League,2023,0,7344,0.0,36,0.49019607843137253,0.0
Saudi Arabia Professional League,2024,44,7344,0.599128540305011,72,0.9803921568627451,0.599128540305011
Scotland Premiership,2021,6,5472,0.10964912280701754,29,0.5299707602339181,0.10964912280701754
Scotland Premiership,2022,10,5472,0.1827485380116959,28,0.5116959064327485,0.1827485380116959
Scotland Premiership,2023,14,5472,0.25584795321637427,30,0.5482456140350878,0.25584795321637427
Scotland Premiership,2024,54,5472,0.9868421052631579,57,1.0416666666666667,0.9868421052631579
Spain La Liga,2021,0,9120,0.0,42,0.4605263157894737,0.0
Spain La Liga,2022,0,9120,0.0,43,0.47149122807017546,0.0
Spain La Liga,2023,6,9120,0.06578947368421052,40,0.43859649122807015,0.06578947368421052
Spain La Liga,2024,12,9120,0.13157894736842105,58,0.6359649122807017,0.13157894736842105
Spain Segunda División,2021,0,11232,0.0,55,0.4896723646723647,0.0
Spain Segunda División,2022,0,11232,0.0,87,0.7745726495726496,0.0
Spain Segunda División,2023,0,11232,0.0,52,0.46296296296296297,0.0
Spain Segunda División,2024,12,11136,0.10775862068965517,148,1.3290229885057472,0.10775862068965517
Switzerland Super League,2021,0,4320,0.0,22,0.5092592592592593,0.0
Switzerland Super League,2022,0,4320,0.0,21,0.4861111111111111,0.0
Switzerland Super League,2023,0,5472,0.0,24,0.43859649122807015,0.0
Switzerland Super League,2024,12,5472,0.21929824561403508,66,1.206140350877193,0.21929824561403508
Turkey Süper Lig,2021,0,9120,0.0,44,0.4824561403508772,0.0
Turkey Süper Lig,2023,0,9120,0.0,40,0.43859649122807015,0.0
Turkey Süper Lig,2024,20,8208,0.24366471734892786,109,1.327972709551657,0.24366471734892786
