accuracy_at_0_5,binary_log_loss,brier_score,competition,fold_number,model_name,positive_class_prevalence,prediction_count,roc_auc,round_index,scope_key,scope_type,season
0.5308787327410895,0.7012716754974176,0.25306492437486977,,,v2-benchmark,0.4878518677084448,28029,0.5453902631037189,,all,pooled,
0.5167148310678226,0.6927963529850488,0.2498242076899306,,,training-prevalence,0.4878518677084448,28029,0.5116092967827698,,all,pooled,
0.5167148310678226,7.789636631275824,0.4832851689321774,,,training-majority,0.4878518677084448,28029,0.5107725971338264,,all,pooled,
0.5423668343501373,0.7025574087901059,0.2526685875823116,,,logistic-regression,0.4878518677084448,28029,0.5584138021716512,,all,pooled,
0.4772727272727273,0.6896719300886054,0.24826495198340853,,75,v2-benchmark,0.5227272727272727,44,0.7080745341614907,100,100,fold,
0.4772727272727273,0.6970671692986314,0.25195773015141154,,75,training-prevalence,0.5227272727272727,44,0.5,100,100,fold,
0.4772727272727273,8.425368228910035,0.5227272727272727,,75,training-majority,0.5227272727272727,44,0.5,100,100,fold,
0.45454545454545453,0.7164473041158397,0.26052483413050154,,75,logistic-regression,0.5227272727272727,44,0.5196687370600415,100,100,fold,
0.5238095238095238,0.6910728932054885,0.2489638832119418,,76,v2-benchmark,0.47619047619047616,189,0.5380471380471381,101,101,fold,
0.5238095238095238,0.6920280765589031,0.2494406425580624,,76,training-prevalence,0.47619047619047616,189,0.5,101,101,fold,
0.5238095238095238,7.675283695694442,0.47619047619047616,,76,training-majority,0.47619047619047616,189,0.5,101,101,fold,
0.4973544973544973,0.70255539711455,0.2542515962072744,,76,logistic-regression,0.47619047619047616,189,0.5298540965207632,101,101,fold,
0.5166666666666667,0.6932618195339215,0.25005634789246506,,77,v2-benchmark,0.48333333333333334,60,0.5083426028921023,102,102,fold,
0.5166666666666667,0.6927215405378824,0.2497871042306338,,77,training-prevalence,0.48333333333333334,60,0.5,102,102,fold,
0.5166666666666667,7.790412949629859,0.48333333333333334,,77,training-majority,0.48333333333333334,60,0.5,102,102,fold,
0.4666666666666667,0.6897880882344791,0.24848949122482272,,77,logistic-regression,0.48333333333333334,60,0.5595105672969967,102,102,fold,
0.46357615894039733,0.6967505452453571,0.25179935286956795,,78,v2-benchmark,0.5364238410596026,151,0.5270723104056436,103,103,fold,
0.46357615894039733,0.6976268982435169,0.2522380430709558,,78,training-prevalence,0.5364238410596026,151,0.5,103,103,fold,
0.46357615894039733,8.64613082601076,0.5364238410596026,,78,training-majority,0.5364238410596026,151,0.5,103,103,fold,
0.5231788079470199,0.7015413585547852,0.25396577078282445,,78,logistic-regression,0.5364238410596026,151,0.546031746031746,103,103,fold,
0.4528301886792453,0.697749546966142,0.2522985180688199,,79,v2-benchmark,0.5471698113207547,53,0.4992816091954023,104,104,fold,
0.4528301886792453,0.6961379749389889,0.251494991856701,,79,training-prevalence,0.5471698113207547,53,0.5,104,104,fold,
0.4528301886792453,8.819335401467763,0.5471698113207547,,79,training-majority,0.5471698113207547,53,0.5,104,104,fold,
0.5283018867924528,0.671484543474763,0.23968868753432332,,79,logistic-regression,0.5471698113207547,53,0.5775862068965517,104,104,fold,
0.5347593582887701,0.6919752385873778,0.249414131405961,,80,v2-benchmark,0.46524064171123,187,0.4842528735632184,105,105,fold,
0.5347593582887701,0.6919242150632428,0.24938859666513194,,80,training-prevalence,0.46524064171123,187,0.5,105,105,fold,
0.5347593582887701,7.498793217290775,0.46524064171123,,80,training-majority,0.46524064171123,187,0.5,105,105,fold,
0.5187165775401069,0.7191876794144807,0.26206962040864334,,80,logistic-regression,0.46524064171123,187,0.4925287356321839,105,105,fold,
0.3333333333333333,0.7004434742463105,0.25364787350515205,,81,v2-benchmark,0.6666666666666666,63,0.4852607709750567,106,106,fold,
0.3333333333333333,0.7000876792923608,0.25346977007829385,,81,training-prevalence,0.6666666666666666,63,0.5,106,106,fold,
0.3333333333333333,10.745397133972219,0.6666666666666666,,81,training-majority,0.6666666666666666,63,0.5,106,106,fold,
0.5873015873015873,0.6861835096640084,0.24639963103315185,,81,logistic-regression,0.6666666666666666,63,0.5941043083900227,106,106,fold,
0.5067567567567568,0.6913600858091861,0.2491089763032061,,82,v2-benchmark,0.49324324324324326,148,0.5444748858447489,107,107,fold,
0.5067567567567568,0.6930568464911848,0.24995483427790605,,82,training-prevalence,0.49324324324324326,148,0.5,107,107,fold,
0.5067567567567568,7.950141824459178,0.49324324324324326,,82,training-majority,0.49324324324324326,148,0.5,107,107,fold,
0.5675675675675675,0.6679234433563401,0.23769108598240035,,82,logistic-regression,0.49324324324324326,148,0.6208219178082192,107,107,fold,
0.3953488372093023,0.6992555147549733,0.2530525642023836,,83,v2-benchmark,0.6046511627906976,43,0.5113122171945701,108,108,fold,
0.3953488372093023,0.6956133023905187,0.2512330061383917,,83,training-prevalence,0.6046511627906976,43,0.5,108,108,fold,
0.3953488372093023,9.745825316858522,0.6046511627906976,,83,training-majority,0.6046511627906976,43,0.5,108,108,fold,
0.627906976744186,0.654024900128913,0.23098511322742896,,83,logistic-regression,0.6046511627906976,43,0.5814479638009049,108,108,fold,
0.4935897435897436,0.6905308160071881,0.24869368253773835,,84,v2-benchmark,0.5064102564102564,156,0.6208285385500576,109,109,fold,
0.4935897435897436,0.6933321353654401,0.25009247366862314,,84,training-prevalence,0.5064102564102564,156,0.5,109,109,fold,
0.4935897435897436,8.162369000805821,0.5064102564102564,,84,training-majority,0.5064102564102564,156,0.5,109,109,fold,
0.5256410256410257,0.6966732521314989,0.25125092751835343,,84,logistic-regression,0.5064102564102564,156,0.5492355745520303,109,109,fold,
0.46153846153846156,0.6968278475966668,0.25183947430658615,,85,v2-benchmark,0.5384615384615384,65,0.4457142857142857,110,110,fold,
