competition,season,n_team_month_slices,mean_slice_missing_pct,median_slice_missing_pct,worst_slice_missing_pct,worst_team_name,worst_month,worst_n_matches
Australia A-League,2021,83,1.1077276137517102,0.0,7.6923076923076925,Adelaide United FC,11,2
Australia A-League,2022,92,0.7455406911928651,0.0,7.6923076923076925,Melbourne City FC,5,2
Australia A-League,2023,91,1.2961397576782192,0.0,15.384615384615385,Perth Glory FC,1,4
Australia A-League,2024,104,1.4139546351084813,0.0,11.538461538461538,Perth Glory FC,10,2
Austria Bundesliga,2021,120,0.9743589743589745,0.0,7.6923076923076925,SC Rheindorf Altach,7,2
Austria Bundesliga,2022,120,0.7692307692307693,0.0,7.6923076923076925,FC Salzburg,7,2
Austria Bundesliga,2023,120,0.9615384615384616,0.0,7.6923076923076925,FC Salzburg,7,1
Austria Bundesliga,2024,110,2.0203962703962706,0.0,23.076923076923077,SK Austria Klagenfurt,11,3
Belgium Pro League,2021,188,1.2070376432078558,0.0,28.205128205128204,YR KV Mechelen,1,3
Belgium Pro League,2022,196,0.8490319204604919,0.0,7.6923076923076925,RSC Anderlecht,7,2
Belgium Pro League,2023,178,1.181215787957361,0.0,21.153846153846153,Royal Standard de Liège,5,4
Belgium Pro League,2024,176,1.891754079254079,0.0,19.23076923076923,Club Brugge KV,3,4
Denmark Superliga,2021,108,0.7371794871794871,0.0,7.6923076923076925,Aalborg BK,7,2
Denmark Superliga,2022,120,0.7243589743589745,0.0,7.6923076923076925,Lyngby Boldklub,7,2
Denmark Superliga,2023,120,0.7905982905982907,0.0,7.6923076923076925,Brøndby IF,7,2
Denmark Superliga,2024,120,1.0523504273504274,0.0,7.6923076923076925,FC København,7,2
England Championship,2021,240,0.6403388278388279,0.0,7.6923076923076925,West Bromwich Albion FC,5,1
England Championship,2022,262,1.5624038811061713,0.0,30.76923076923077,Wigan Athletic FC,5,1
England Championship,2023,240,0.5272435897435898,0.0,4.8076923076923075,Stoke City FC,8,4
England Championship,2024,240,1.4182310744810747,0.0,16.923076923076923,Leeds United FC,10,5
England EFL League One,2021,220,0.5659340659340659,0.0,4.615384615384615,Rotherham United FC,8,5
England EFL League One,2022,264,1.2614468864468866,0.0,7.6923076923076925,Charlton Athletic FC,1,4
England EFL League One,2023,220,0.6168831168831169,0.0,4.615384615384615,Wigan Athletic FC,8,5
England EFL League One,2024,240,1.2377899877899878,0.0,34.61538461538461,Rotherham United FC,11,2
England EFL League Two,2021,240,0.7367979242979243,0.0,7.6923076923076925,Sutton United FC,5,1
England EFL League Two,2022,264,1.4695027195027197,0.0,30.76923076923077,Doncaster Rovers FC,5,1
England EFL League Two,2023,220,0.7712703962703963,0.0,7.6923076923076925,Doncaster Rovers FC,5,2
England EFL League Two,2024,240,2.0550213675213675,0.0,24.03846153846154,Swindon Town FC,8,4
England Premier League,2021,200,0.9884615384615387,0.0,10.256410256410257,Everton FC,8,3
England Premier League,2022,200,0.5794871794871795,0.0,3.8461538461538463,Leicester City FC,8,4
England Premier League,2023,200,0.7251373626373626,0.0,7.6923076923076925,Chelsea FC,8,3
England Premier League,2024,200,1.134981684981685,0.0,11.538461538461538,Newcastle United FC,8,2
France Ligue 1,2021,200,0.39743589743589747,0.0,5.128205128205129,Olympique de Marseille,8,3
France Ligue 1,2022,220,0.31293706293706297,0.0,3.8461538461538463,Stade de Reims,8,5
France Ligue 1,2023,180,0.5128205128205129,0.0,5.128205128205129,AS Monaco FC,8,3
France Ligue 1,2024,180,1.7535612535612533,0.0,10.256410256410257,Le Havre AC,10,3
France Ligue 2,2021,220,0.7837995337995339,0.0,7.6923076923076925,Stade Malherbe Caen,7,2
France Ligue 2,2022,238,0.8489549666020255,0.0,15.384615384615385,FC Girondins de Bordeaux,6,1
France Ligue 2,2023,200,0.3846153846153846,0.0,3.8461538461538463,Stade Malherbe Caen,8,4
France Ligue 2,2024,180,3.0014245014245016,0.0,23.076923076923077,Stade Malherbe Caen,11,3
Germany 2. Bundesliga,2021,198,0.7575757575757576,0.0,7.6923076923076925,SV Werder Bremen,7,2
Germany 2. Bundesliga,2022,180,0.7692307692307692,0.0,7.6923076923076925,Hamburger SV,7,2
Germany 2. Bundesliga,2023,198,0.9712509712509713,0.0,7.6923076923076925,FC Schalke 04,7,1
Germany 2. Bundesliga,2024,180,1.9337606837606838,0.0,23.076923076923077,Düsseldorfer TuS Fortuna 1895,11,3
Germany Bundesliga,2021,180,0.5698005698005698,0.0,5.128205128205129,BVB 09 Borussia Dortmund,8,3
Germany Bundesliga,2022,162,0.42735042735042733,0.0,3.8461538461538463,BVB 09 Borussia Dortmund,8,4
Germany Bundesliga,2023,180,0.7692307692307692,0.0,7.6923076923076925,BVB 09 Borussia Dortmund,8,2
Germany Bundesliga,2024,180,1.3774928774928776,0.0,7.6923076923076925,BVB 09 Borussia Dortmund,8,2
India Indian Super League,2021,54,1.8993352326685662,0.0,17.94871794871795,NorthEast United FC,11,3
India Indian Super League,2022,61,1.0970996216897855,0.0,8.653846153846153,Odisha FC,10,4
India Indian Super League,2023,87,1.5775125257883875,0.0,15.384615384615385,FC Goa,12,4
India Indian Super League,2024,95,6.225371120107962,1.9230769230769231,51.282051282051285,Jamshedpur FC,10,3
Italy Serie A,2021,200,0.7653846153846154,0.0,7.6923076923076925,SSC Napoli,8,2
Italy Serie A,2022,200,0.6185897435897436,0.0,15.384615384615385,Juventus FC,6,1
Italy Serie A,2023,202,0.7425742574257426,0.0,7.6923076923076925,SSC Napoli,8,2
Italy Serie A,2024,200,1.3679487179487178,0.0,11.538461538461538,Torino FC,10,4
Italy Serie B,2021,200,0.7423076923076922,0.0,7.6923076923076925,Frosinone Calcio,8,2
Italy Serie B,2022,206,0.8725416977844163,0.0,6.410256410256411,US Città di Palermo,8,3
Italy Serie B,2023,200,0.5455128205128206,0.0,7.6923076923076925,AC Pisa 1909,8,2
Italy Serie B,2024,204,1.621328018386842,0.0,9.89010989010989,ASD Spezia Calcio 2008,5,7
Netherlands Eredivisie,2021,180,0.5840455840455842,0.0,5.128205128205129,AFC Ajax,8,3
Netherlands Eredivisie,2022,166,0.49428483163422926,0.0,5.128205128205129,Feyenoord Rotterdam,11,3
Netherlands Eredivisie,2023,180,0.6267806267806267,0.0,7.6923076923076925,AFC Ajax,8,2
Netherlands Eredivisie,2024,180,1.7799145299145298,0.0,23.076923076923077,FC Twente,10,3
Poland Ekstraklasa,2021,180,0.8344017094017093,0.0,7.6923076923076925,KP Legia Warszawa,7,2
Poland Ekstraklasa,2022,180,0.6292735042735043,0.0,7.6923076923076925,WKS Śląsk Wrocław,7,2
Poland Ekstraklasa,2023,180,0.9348290598290598,0.0,7.6923076923076925,RTS Widzew Łódź,7,2
Poland Ekstraklasa,2024,184,1.1259754738015608,0.0,7.6923076923076925,KP Legia Warszawa,7,2
Portugal Liga NOS,2021,180,0.3846153846153846,0.0,3.8461538461538463,SL Benfica,8,4
Portugal Liga NOS,2022,178,0.38893690579083834,0.0,3.8461538461538463,SL Benfica,8,4
Portugal Liga NOS,2023,180,0.5413105413105412,0.0,7.6923076923076925,Sporting Braga,8,2
Portugal Liga NOS,2024,180,1.5441595441595442,0.0,15.384615384615385,FC Porto,10,2
Saudi Arabia Professional League,2021,160,2.331730769230769,0.0,28.205128205128204,Al Taawon FC,5,3
Saudi Arabia Professional League,2022,143,1.6899766899766901,0.0,23.076923076923077,Al Nassr FC,8,1
Saudi Arabia Professional League,2023,162,0.42735042735042733,0.0,4.8076923076923075,Al Taawon FC,8,4
Saudi Arabia Professional League,2024,180,1.7435897435897436,0.0,23.076923076923077,Al Ahli SC Jeddah,11,3
Scotland Premiership,2021,128,1.0707131410256412,0.0,12.820512820512821,Saint Mirren FC,5,3
Scotland Premiership,2022,132,1.385003885003885,0.0,17.307692307692307,Kilmarnock FC,4,4
Scotland Premiership,2023,120,1.2405372405372408,0.0,25.641025641025642,Kilmarnock FC,4,3
Scotland Premiership,2024,120,2.558760683760684,0.0,23.076923076923077,Celtic FC,11,3
Spain La Liga,2021,200,0.5096153846153847,0.0,6.410256410256411,Granada CF,8,3
Spain La Liga,2022,220,0.46620046620046623,0.0,6.410256410256411,Real Betis Balompié,8,3
Spain La Liga,2023,200,0.5653846153846155,0.0,6.410256410256411,Club Atlético de Madrid,8,3
Spain La Liga,2024,200,0.9772435897435898,0.0,23.076923076923077,Real Valladolid Club de Fútbol,12,3
Spain Segunda División,2021,224,0.5551739926739927,0.0,7.6923076923076925,UD Las Palmas,6,2
Spain Segunda División,2022,224,0.7755265567765568,0.0,6.410256410256411,Real Racing Club de Santander,8,3
Spain Segunda División,2023,242,0.5318923500741684,0.0,6.410256410256411,CD Leganés,8,3
Spain Segunda División,2024,236,1.5884398087787919,0.0,17.307692307692307,SD Eibar,11,4
Switzerland Super League,2021,110,0.8100233100233101,0.0,7.6923076923076925,BSC Young Boys,7,2
Switzerland Super League,2022,100,0.6025641025641026,0.0,7.6923076923076925,FC Basel 1893,7,2
Switzerland Super League,2023,132,0.6993006993006993,0.0,7.6923076923076925,FC Basel 1893,7,2
Switzerland Super League,2024,132,1.764763014763015,0.0,23.076923076923077,FC Sion,11,3
Turkey Süper Lig,2021,200,0.5128205128205129,0.0,5.128205128205129,Fenerbahçe,8,3
Turkey Süper Lig,2022,209,6.767881241565453,0.0,84.61538461538461,Hatay Spor Kulübü,4,6
Turkey Süper Lig,2023,200,0.5897435897435898,0.0,7.6923076923076925,Fenerbahçe,8,2
Turkey Süper Lig,2024,194,1.7856198784033837,0.0,23.076923076923077,Çaykur Rizespor,11,3
